super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
21662,ITI Technical College,Baton Rouge,LA,56000,55000,20.257362,0.34329841,40.163651,0.14645728,8.136097,0.029668383,-10.871756,-16.802845,92
2032,Xavier University Of Louisiana,New Orleans,LA,63100,48400,16.702759,0.39558756,31.462702,2.1135638,5.2551394,0.35302347,2.2524054,8.3640871,657.3333333
2004,Dillard University,New Orleans,LA,42600,36700,24.772984,0.15893224,20.298244,0.19254729,5.0284805,0.047699708,4.4289274,7.6223145,414.1666667
2006,Grambling State University,Ruston,LA,34300,30500,34.357506,0,13.437594,0.23359163,4.6168222,0.080256253,-9.4198704,-4.8968821,815.6666667
2025,Southern University And Agricultural & Mechanical Colg At Baton R,Baton Rouge,LA,38600,34200,31.241489,0.080337681,13.88679,0.28432357,4.3384399,0.088826925,-7.0119834,-1.0362322,1561
2020,University Of Louisiana At Monroe,Monroe,LA,59700,35000,20.35144,0.47688931,17.991072,0.7195037,3.6614423,0.14642936,-8.240428,-6.5914688,1051
2026,Southern University At New Orleans,New Orleans,LA,32100,27300,37.862129,0.068971127,9.4593534,0.31346714,3.5815127,0.11868534,-3.2363162,5.5042787,265
5488,Capital Area Technical College,Baton Rouge,LA,44300,24600,28.281466,0.16686372,12.203152,0.12213817,3.45123,0.034542464,-2.1542945,-2.4522591,2398
2015,University Of New Orleans ,New Orleans,LA,66400,36500,16.552917,0.4645116,18.520807,0.40093908,3.0657339,0.066367112,-4.6914725,-9.0432768,1976.666667
2005,Nicholls State University,Houma,LA,69800,38900,15.255252,0.51663506,18.731112,0.84808606,2.8574781,0.12937766,-11.110761,-19.475027,1353.5
2021,Northwestern State University,Shreveport,LA,57700,32900,20.838663,0.24015978,13.357229,0.82787585,2.783468,0.17251825,-9.0719481,-10.291585,1715.333333
2031,University Of Louisiana At Lafayette,Lafayette,LA,75800,39200,13.466993,1.0337069,20.143944,0.57425714,2.7127836,0.077335171,-5.7732744,-7.9696255,2585.666667
21661,Elaine P. Nunez Community College,New Orleans,LA,47200,23800,25.470055,0.098706163,10.041587,0.056473266,2.5575976,0.014383771,7.9991579,13.582309,291.5
2017,Mcneese State University,Lake Charles,LA,75800,36300,12.7929,0.43969783,19.987112,0.77121741,2.5569315,0.09866108,-3.1821411,-4.2351036,1361.666667
2008,Louisiana Tech University,Ruston,LA,81500,42200,10.710855,0.94991338,20.734024,0.8478815,2.2207913,0.090815358,-4.1853447,-5.6391768,1877
4625,Delgado Community College,New Orleans,LA,43800,25500,28.750584,0.15217201,7.4676185,0.092081949,2.1469839,0.026474098,-4.6007013,1.10313,2348.333333
40,Louisiana State University System,Baton Rouge,LA,94300,44000,8.6616974,1.9956596,24.682886,1.6826086,2.1379569,0.14574248,-1.7910056,-4.1579919,6189.333333
2007,Louisiana College,Alexandria,LA,84500,40500,8.8761892,1.4216684,22.030519,0.065386616,1.9554704,0.005803839,2.9577997,4.9485707,201.3333333
2013,Louisiana State University In Shreveport,Shreveport,LA,66500,35600,15.701525,0.3121776,12.415858,1.1959323,1.9494791,0.18777961,-6.537518,-8.1311331,528
2023,Our Lady Of Holy Cross College,New Orleans,LA,88400,36600,8.7925415,0.73956031,21.063608,0.22551683,1.8520266,0.019828662,4.5422072,5.8083477,129.3333333
2024,Southeastern Louisiana University,Baton Rouge,LA,72700,34000,14.494022,0.50729519,12.760897,0.36345822,1.8495673,0.052679714,-4.6653748,-5.5052133,2536.666667
2016,Loyola University New Orleans,New Orleans,LA,113800,42800,5.4181023,5.1247225,28.830633,2.7762494,1.5620732,0.15042002,4.0958314,5.7619743,677
2003,Centenary College Of Louisiana,Shreveport,LA,100300,45400,5.4169898,2.8977058,27.604317,0,1.4953231,0,1.5805557,1.6779168,193.3333333
20554,Bossier Parish Community College,Shreveport,LA,63000,27600,17.159607,0.29323515,7.7923975,0.019490324,1.3371449,0.003344463,4.5901356,10.316702,820
31062,Our Lady Of The Lake College,Baton Rouge,LA,86500,37200,6.3360162,0.24220604,14.083107,0.002238662,0.89230788,0.000141842,3.5207942,2.9317238,148.3333333
37894,River Parishes Community College,Baton Rouge,LA,78400,24800,13.9335,0.71008581,5.3779616,0.028295705,0.74933833,0.003942582,0.57454884,13.283242,97
26009,Aveda Institute Covington,New Orleans,LA,63000,16200,14.94955,0.10685164,0.43150583,0.036989998,0.064508177,0.005529838,-1.8878573,1.7907271,61
